"dataset","representation","genes","samples","minimum","p01","p25","median","p75","p99","maximum","mean","sd"
"GSE160638","native_log_scale",12,36,-2.46231419904972,-2.46231419904972,0.726199698432609,3.19413428625123,4.99081494376213,7.0175881442902,8.35034408152521,2.81025886141076,2.6159234518055
"GSE91061","native_log_scale",12,49,0,0,0.234078068688564,0.860951566570661,1.87954795700042,4.89585528702205,8.26762628869486,1.24034867751877,1.25193246847824
"GSE78220","native_log_scale",12,27,0,0,0.0957394534860901,0.810740844235568,1.7073244066527,6.44610949283761,8.22128260072775,1.1998105470866,1.38954496070928
"GSE160638","samplewise_rank",12,36,0.0416666666666667,0.0416666666666667,0.25,0.5,0.729166666666667,0.958333333333333,0.958333333333333,0.5,0.287542659668365
"GSE91061","samplewise_rank",12,49,0.0416666666666667,0.0416666666666667,0.270833333333333,0.5,0.729166666666667,0.958333333333333,0.958333333333333,0.5,0.287782402102147
"GSE78220","samplewise_rank",12,27,0.0416666666666667,0.0416666666666667,0.270833333333333,0.5,0.729166666666667,0.958333333333333,0.958333333333333,0.5,0.287929395465808
"GSE160638","samplewise_z",12,36,-2.34346067134166,-1.98779191852023,-0.8157171657595,0.118117026220686,0.862211869970827,1.59428131926789,1.77775595560517,6.20630451930418e-18,0.958537168543963
"GSE91061","samplewise_z",12,49,-1.35717596199513,-1.26854714468543,-0.79373617433861,-0.284433520028703,0.634204160864862,2.40206551145561,2.76238638382302,6.24169935638355e-18,0.958242286369534
"GSE78220","samplewise_z",12,27,-1.38000788130301,-1.11797151328581,-0.750111360359699,-0.303032705325908,0.41446525770387,2.5846171871827,3.02564279688726,-2.02821098072323e-17,0.958908047709919
