"dataset","representation","gene","mean","sd","p25","median","p75"
"GSE160638","native_log_scale","DENND2A",2.80732975994913,1.61750635904634,1.75009131504088,2.51624276071291,3.58734226669153
"GSE160638","native_log_scale","FCRL1",0.86289958111501,2.47304360057145,-1.17573270736383,0.659161582920661,2.8587783338851
"GSE160638","native_log_scale","FCRL2",0.863099441710196,2.42589645161534,-0.864050355313845,0.274062372199821,3.19726043264659
"GSE160638","native_log_scale","MS4A1",1.55383357107286,3.02213901173669,-1.0923062041783,0.984451416044715,3.55218515192785
"GSE160638","native_log_scale","PLCG2",4.57837658079752,1.40959905817475,3.32461193962183,4.71873643296083,5.66265117540235
"GSE160638","native_log_scale","RASL10B",1.3390295153827,1.72702198885689,0.246218653170344,0.974565553161366,2.65945409017699
"GSE160638","native_log_scale","SCARF2",4.39120945751991,1.14047362667302,3.62048399521597,4.31787734938564,5.02380801995328
"GSE160638","native_log_scale","SDR42E1",0.964581757377924,1.909219840589,-0.249235246411093,0.858062750178781,2.39709064902424
"GSE160638","native_log_scale","TICRR",4.59118358617085,1.12388809214027,3.69535925694992,4.78289269748103,5.28781052524243
"GSE160638","native_log_scale","TLR1",4.60822555890692,1.17995307670269,3.5416070691652,4.68562645617093,5.4583371547343
"GSE160638","native_log_scale","TRIM71",1.20110500543296,2.6802870506972,-0.750450469176989,0.186851384649006,3.87528169579756
"GSE160638","native_log_scale","VARS2",5.96223252149318,0.59322283968249,5.55171900697306,5.8577329424353,6.38111775343445
"GSE91061","native_log_scale","DENND2A",1.46946973223164,1.16992422578839,0.745956728734287,1.10627379177298,1.67766034254488
"GSE91061","native_log_scale","FCRL1",0.478393832002673,1.02445925042648,0.0274294904147635,0.120971472638006,0.37322822973862
"GSE91061","native_log_scale","FCRL2",0.433075212627671,0.791602104929078,0.0418078476620669,0.190623408409521,0.402000049093271
"GSE91061","native_log_scale","MS4A1",1.38347383055443,1.77051637702711,0.154219129378951,0.690347091637875,1.93459480864009
"GSE91061","native_log_scale","PLCG2",2.31968019572585,1.0028635590819,1.75292045013779,2.2149726246573,2.76350038386163
"GSE91061","native_log_scale","RASL10B",0.745496205800161,0.731749155187165,0.246488146508311,0.473175605831026,0.908752371226038
"GSE91061","native_log_scale","SCARF2",2.27070395743962,0.949367143730834,1.37539890372448,2.2599884547925,3.11854636125517
"GSE91061","native_log_scale","SDR42E1",0.538229465911346,0.67903791480098,0.0663232325633267,0.22389575303347,0.810646000431606
"GSE91061","native_log_scale","TICRR",1.1424740811178,0.589198790432007,0.633819726864548,1.14183087650414,1.59924847282315
"GSE91061","native_log_scale","TLR1",2.93111102153502,1.0233379552991,2.36819423531844,3.02932504172971,3.68200255595875
"GSE91061","native_log_scale","TRIM71",0.202626235923539,0.357540023725723,0,0.0118703857726703,0.24113185725452
"GSE91061","native_log_scale","VARS2",0.969450359355432,0.317707240963003,0.742916281059828,0.958330168809962,1.13888070788752
"GSE78220","native_log_scale","DENND2A",1.28973014372795,0.973290297024372,0.577504812926374,0.893754384102427,1.81775957193217
"GSE78220","native_log_scale","FCRL1",0.276125926128133,0.89743151888853,0.0124397506015932,0.0405491581113968,0.128427264125395
"GSE78220","native_log_scale","FCRL2",0.359547359465063,0.820086958423006,0.01392671627119,0.06854534748614,0.331500522718429
"GSE78220","native_log_scale","MS4A1",0.893864265268729,1.70218608471681,0.0557813750108022,0.254735524209394,0.85379306204516
"GSE78220","native_log_scale","PLCG2",1.45048238110597,0.8744023326595,0.970172820106751,1.23100223932731,1.61715089429669
"GSE78220","native_log_scale","RASL10B",0.975362272480051,1.20958966145379,0.147056187000978,0.258138980066128,1.62841751071136
"GSE78220","native_log_scale","SCARF2",3.83202892497563,1.52849834442473,3.15499440786148,3.56764887601995,4.37952266988324
"GSE78220","native_log_scale","SDR42E1",0.327446287570205,0.708289412798241,0.0305402044100615,0.132969097109063,0.290010065771661
"GSE78220","native_log_scale","TICRR",1.06888950168006,0.443383862671548,0.782018059898047,1.02262454551055,1.34488023098004
"GSE78220","native_log_scale","TLR1",2.17805740511456,0.969327931519702,1.33147228620677,2.32795461161067,3.02617717352178
"GSE78220","native_log_scale","TRIM71",0.138243943780844,0.304917218789929,0,0.00752290578208443,0.173637186443454
"GSE78220","native_log_scale","VARS2",1.60794815374203,0.432302737121466,1.33524990564814,1.575322013172,1.86892458587175
"GSE160638","samplewise_rank","DENND2A",0.452546296296296,0.197743414840734,0.291666666666667,0.458333333333333,0.541666666666667
"GSE160638","samplewise_rank","FCRL1",0.283564814814815,0.203349785742577,0.125,0.25,0.458333333333333
"GSE160638","samplewise_rank","FCRL2",0.280092592592593,0.182468498887944,0.125,0.270833333333333,0.395833333333333
"GSE160638","samplewise_rank","MS4A1",0.40162037037037,0.288701385273619,0.197916666666667,0.333333333333333,0.5625
"GSE160638","samplewise_rank","PLCG2",0.724537037037037,0.191919547922507,0.541666666666667,0.75,0.875
"GSE160638","samplewise_rank","RASL10B",0.315972222222222,0.198799721742963,0.125,0.375,0.458333333333333
"GSE160638","samplewise_rank","SCARF2",0.664351851851852,0.183101705529744,0.625,0.708333333333333,0.791666666666667
"GSE160638","samplewise_rank","SDR42E1",0.291666666666667,0.154624481110625,0.208333333333333,0.291666666666667,0.375
"GSE160638","samplewise_rank","TICRR",0.69212962962963,0.152777777777778,0.625,0.666666666666667,0.791666666666667
"GSE160638","samplewise_rank","TLR1",0.716435185185185,0.168389737263054,0.625,0.75,0.875
"GSE160638","samplewise_rank","TRIM71",0.295138888888889,0.279308776906747,0.0416666666666667,0.125,0.541666666666667
"GSE160638","samplewise_rank","VARS2",0.881944444444444,0.0942282773585947,0.875,0.875,0.958333333333333
"GSE91061","samplewise_rank","DENND2A",0.611394557823129,0.1934600120595,0.458333333333333,0.625,0.708333333333333
"GSE91061","samplewise_rank","FCRL1",0.237244897959184,0.185795509049378,0.125,0.208333333333333,0.291666666666667
"GSE91061","samplewise_rank","FCRL2",0.244897959183673,0.168958344692172,0.125,0.208333333333333,0.291666666666667
"GSE91061","samplewise_rank","MS4A1",0.512755102040816,0.25433226641241,0.291666666666667,0.458333333333333,0.708333333333333
"GSE91061","samplewise_rank","PLCG2",0.779761904761905,0.120281306081172,0.708333333333333,0.791666666666667,0.875
"GSE91061","samplewise_rank","RASL10B",0.414115646258503,0.215234342044816,0.291666666666667,0.375,0.541666666666667
"GSE91061","samplewise_rank","SCARF2",0.796768707482993,0.174642627216607,0.708333333333333,0.791666666666667,0.958333333333333
"GSE91061","samplewise_rank","SDR42E1",0.311224489795918,0.22342912941073,0.125,0.291666666666667,0.375
"GSE91061","samplewise_rank","TICRR",0.553571428571429,0.190181443578183,0.458333333333333,0.541666666666667,0.708333333333333
"GSE91061","samplewise_rank","TLR1",0.856292517006803,0.111887874443426,0.791666666666667,0.875,0.958333333333333
"GSE91061","samplewise_rank","TRIM71",0.162414965986395,0.172477877414116,0.0416666666666667,0.0416666666666667,0.208333333333333
"GSE91061","samplewise_rank","VARS2",0.519557823129252,0.123574639833492,0.458333333333333,0.541666666666667,0.625
"GSE78220","samplewise_rank","DENND2A",0.600308641975309,0.18318002741514,0.458333333333333,0.541666666666667,0.708333333333333
"GSE78220","samplewise_rank","FCRL1",0.179012345679012,0.144714026322163,0.0833333333333333,0.125,0.208333333333333
"GSE78220","samplewise_rank","FCRL2",0.248456790123457,0.166859456397594,0.125,0.208333333333333,0.333333333333333
"GSE78220","samplewise_rank","MS4A1",0.429012345679012,0.231071574390479,0.291666666666667,0.375,0.541666666666667
"GSE78220","samplewise_rank","PLCG2",0.658950617283951,0.127138248452973,0.541666666666667,0.625,0.791666666666667
"GSE78220","samplewise_rank","RASL10B",0.483024691358025,0.255092172480665,0.375,0.375,0.75
"GSE78220","samplewise_rank","SCARF2",0.91820987654321,0.0668681665187099,0.875,0.958333333333333,0.958333333333333
"GSE78220","samplewise_rank","SDR42E1",0.266975308641975,0.196544419327026,0.125,0.208333333333333,0.291666666666667
"GSE78220","samplewise_rank","TICRR",0.584876543209877,0.148659196896052,0.458333333333333,0.625,0.708333333333333
"GSE78220","samplewise_rank","TLR1",0.75462962962963,0.173472166622178,0.625,0.791666666666667,0.875
"GSE78220","samplewise_rank","TRIM71",0.171296296296296,0.142631206153005,0.0416666666666667,0.125,0.291666666666667
"GSE78220","samplewise_rank","VARS2",0.705246913580247,0.116670058287426,0.625,0.708333333333333,0.791666666666667
"GSE160638","samplewise_z","DENND2A",-0.0758126552156643,0.622488800559991,-0.642547889616275,-0.0407128471104101,0.221987750170721
"GSE160638","samplewise_z","FCRL1",-0.700334925576633,0.730805068428285,-1.28752811135657,-0.818471774556354,-0.137496468113648
"GSE160638","samplewise_z","FCRL2",-0.699335005225015,0.661113825817137,-1.2167237688447,-0.899868296266917,-0.0831007797268606
"GSE160638","samplewise_z","MS4A1",-0.391376056555617,0.929975169337866,-1.14017396270824,-0.587967629199101,0.251256941175062
"GSE160638","samplewise_z","PLCG2",0.758772522858151,0.494765822589348,0.347109273719405,0.817082736343727,1.13161025511019
"GSE160638","samplewise_z","RASL10B",-0.675637619884957,0.821443033091101,-1.21096290298329,-0.519890245384176,-0.0548453521673397
"GSE160638","samplewise_z","SCARF2",0.569309141295742,0.491403503993476,0.314723267017466,0.68057799506011,0.931808561661359
"GSE160638","samplewise_z","SDR42E1",-0.676475125907588,0.559504860348753,-1.06046254803779,-0.704319649694234,-0.381974836359701
"GSE160638","samplewise_z","TICRR",0.64603438433397,0.464652055781755,0.262107899758907,0.615311218624858,1.02358214407493
