"dataset","validated_samples","matched_samples","required_core_genes","available_core_genes","duplicated_expression_sample_keys","duplicated_metadata_sample_keys","missing_sample_matches","response_used_in_expression_preparation"
"GSE91061",49,49,12,12,0,0,0,FALSE
"GSE78220",27,27,12,12,0,0,0,FALSE
