"dataset","minimum","p01","p25","median","p75","p99","maximum","zero_fraction"
"GSE91061",0,0,0.176157015484094,0.816237769430205,2.68049796226225,29.1609282799733,307.179329425216,0.0731292517006803
"GSE78220",0,0,0.0686131375,0.754113,2.2655525,87.0392089999995,297.437,0.0802469135802469
