"external_dataset","representation","pearson_gene_median_correlation","spearman_gene_median_correlation","mean_absolute_gene_median_difference"
"GSE91061","native_log_scale",0.77180404487032,0.825174825174825,1.53288825189265
"GSE78220","native_log_scale",0.767793829024337,0.867132867132867,1.61962466798282
"GSE91061","samplewise_rank",0.858873246277177,0.889090018676692,0.0989583333333333
"GSE78220","samplewise_rank",0.912501288866966,0.932993659194718,0.0850694444444444
"GSE91061","samplewise_z",0.785394888905434,0.867132867132867,0.322586020316596
"GSE78220","samplewise_z",0.764652407371712,0.902097902097902,0.364845167568442
