"threshold","Accuracy","Sensitivity","Specificity","Balanced_Accuracy","selected"
0.05,0.611111111111111,1,0,0.5,FALSE
0.06,0.638888888888889,1,0.0714285714285714,0.535714285714286,FALSE
0.07,0.638888888888889,1,0.0714285714285714,0.535714285714286,FALSE
0.08,0.638888888888889,1,0.0714285714285714,0.535714285714286,FALSE
0.09,0.638888888888889,1,0.0714285714285714,0.535714285714286,FALSE
0.1,0.666666666666667,1,0.142857142857143,0.571428571428571,FALSE
0.11,0.666666666666667,1,0.142857142857143,0.571428571428571,FALSE
0.12,0.666666666666667,1,0.142857142857143,0.571428571428571,FALSE
0.13,0.666666666666667,1,0.142857142857143,0.571428571428571,FALSE
0.14,0.666666666666667,1,0.142857142857143,0.571428571428571,FALSE
0.15,0.722222222222222,1,0.285714285714286,0.642857142857143,FALSE
0.16,0.75,1,0.357142857142857,0.678571428571429,FALSE
0.17,0.75,1,0.357142857142857,0.678571428571429,FALSE
0.18,0.777777777777778,1,0.428571428571429,0.714285714285714,FALSE
0.19,0.777777777777778,1,0.428571428571429,0.714285714285714,FALSE
0.2,0.805555555555556,1,0.5,0.75,FALSE
0.21,0.833333333333333,1,0.571428571428571,0.785714285714286,FALSE
0.22,0.833333333333333,1,0.571428571428571,0.785714285714286,FALSE
0.23,0.833333333333333,1,0.571428571428571,0.785714285714286,FALSE
0.24,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.25,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.26,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.27,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.28,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.29,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.3,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.31,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.32,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.33,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.34,0.861111111111111,1,0.642857142857143,0.821428571428571,FALSE
0.35,0.861111111111111,0.954545454545455,0.714285714285714,0.834415584415584,FALSE
0.36,0.861111111111111,0.954545454545455,0.714285714285714,0.834415584415584,FALSE
0.37,0.861111111111111,0.954545454545455,0.714285714285714,0.834415584415584,FALSE
0.38,0.888888888888889,0.954545454545455,0.785714285714286,0.87012987012987,FALSE
0.39,0.888888888888889,0.954545454545455,0.785714285714286,0.87012987012987,FALSE
0.4,0.888888888888889,0.954545454545455,0.785714285714286,0.87012987012987,FALSE
0.41,0.888888888888889,0.954545454545455,0.785714285714286,0.87012987012987,FALSE
0.42,0.888888888888889,0.954545454545455,0.785714285714286,0.87012987012987,FALSE
0.43,0.888888888888889,0.954545454545455,0.785714285714286,0.87012987012987,FALSE
0.44,0.888888888888889,0.909090909090909,0.857142857142857,0.883116883116883,FALSE
0.45,0.888888888888889,0.909090909090909,0.857142857142857,0.883116883116883,FALSE
0.46,0.888888888888889,0.909090909090909,0.857142857142857,0.883116883116883,FALSE
0.47,0.888888888888889,0.909090909090909,0.857142857142857,0.883116883116883,FALSE
0.48,0.888888888888889,0.909090909090909,0.857142857142857,0.883116883116883,TRUE
0.49,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.5,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.51,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.52,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.53,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.54,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.55,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.56,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.57,0.861111111111111,0.863636363636364,0.857142857142857,0.86038961038961,FALSE
0.58,0.833333333333333,0.818181818181818,0.857142857142857,0.837662337662338,FALSE
0.59,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.6,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.61,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.62,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.63,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.64,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.65,0.805555555555556,0.772727272727273,0.857142857142857,0.814935064935065,FALSE
0.66,0.833333333333333,0.772727272727273,0.928571428571429,0.850649350649351,FALSE
