"outer_fold","rank","gene"
3,31,"TLR1"
3,32,"RPS19"
3,33,"ZC3HAV1L"
3,34,"PCDHA9"
3,35,"PPP3CB-AS1"
3,36,"RASL10B"
3,37,"PCDHA10"
3,38,"PCSK1"
3,39,"ZNF93"
3,40,"PCDHB9"
3,41,"HROB"
3,42,"VARS2"
3,43,"TMEM97"
3,44,"MEX3A"
3,45,"MS4A1"
3,46,"CLDN11"
3,47,"ZNF286A"
3,48,"TUBB"
3,49,"ST6GAL2"
3,50,"ZNF260"
3,51,"KIAA1549"
3,52,"TRIM71"
3,53,"IGF2"
3,54,"FCRL2"
3,55,"SIDT1"
3,56,"RPL32P1"
3,57,"PCDHB11"
3,58,"SLC16A7"
3,59,"FBL"
3,60,"PLCG2"
3,61,"PAXIP1-AS2"
3,62,"SLC7A2"
3,63,"ITGB2-AS1"
3,64,"ITSN2"
3,65,"FZD2"
3,66,"DACT3"
3,67,"SLC38A11"
3,68,"FOXK2"
3,69,"ZNF850"
3,70,"ZC3H12D"
3,71,"A2M-AS1"
3,72,"DZIP1"
3,73,"STRAP"
3,74,"ZFAND3"
3,75,"TTN"
3,76,"NAAA"
3,77,"CPNE5"
3,78,"UBE2O"
3,79,"KCNG1"
3,80,"SQLE"
3,81,"PIMREG"
3,82,"CYLD"
3,83,"MCM3"
3,84,"ZNF726"
3,85,"ZNF724"
3,86,"VASH2"
3,87,"XPO5"
3,88,"GMNN"
3,89,"SCARF2"
3,90,"BANK1"
3,91,"CBX7"
3,92,"PARPBP"
3,93,"IGFBP3"
3,94,"RPS16"
3,95,"BYSL"
3,96,"IPCEF1"
3,97,"IRF1-AS1"
3,98,"CCDC88B"
3,99,"FCHO1"
3,100,"CECR2"
4,1,"FCRL1"
4,2,"COL20A1"
4,3,"PSMB8-AS1"
4,4,"HROB"
4,5,"SDR42E1"
4,6,"RIMS2"
4,7,"TMEM200C"
4,8,"VARS2"
4,9,"DENND2A"
4,10,"WAKMAR2"
4,11,"KIF5C"
4,12,"UBE2O"
4,13,"TPK1"
4,14,"TK1"
4,15,"KIAA1549"
4,16,"FOXK2"
4,17,"SBK1"
4,18,"FCRL2"
