"gene","outer_folds_selected","selection_fraction"
"PRKCH",1,0.2
"PRR3",1,0.2
"PSMB8-AS1",1,0.2
"PSMD3",1,0.2
"PTOV1",1,0.2
"PTPN22",1,0.2
"PTPN7",1,0.2
"PTPRC",1,0.2
"RAC3",1,0.2
"RASGEF1A",1,0.2
"RASGRP1",1,0.2
"RBPMS2",1,0.2
"RCOR2",1,0.2
"REL",1,0.2
"RGS17P1",1,0.2
"RIMS2",1,0.2
"RPS16",1,0.2
"RTEL1-TNFRSF6B",1,0.2
"S1PR4",1,0.2
"SALL4",1,0.2
"SAMD3",1,0.2
"SAMD4B",1,0.2
"SDHAF1",1,0.2
"SH2D1A",1,0.2
"SLAMF7",1,0.2
"SLC38A11",1,0.2
"SLC7A2",1,0.2
"SNHG32",1,0.2
"SOX12",1,0.2
"SP140",1,0.2
"STRAP",1,0.2
"TAGAP",1,0.2
"TBX2",1,0.2
"TC2N",1,0.2
"TCF7L1",1,0.2
"THEMIS",1,0.2
"TIFAB",1,0.2
"TIGIT",1,0.2
"TLR6",1,0.2
"TMEM145",1,0.2
"TMEM156",1,0.2
"TMEM200C",1,0.2
"TNFRSF9",1,0.2
"TRAF3IP3",1,0.2
"TRAT1",1,0.2
"TRBC1",1,0.2
"TRBC2",1,0.2
"TRGC2",1,0.2
"TRIM28",1,0.2
"TSPAN11",1,0.2
"TTC39B",1,0.2
"TUBA4A",1,0.2
"TWIST2",1,0.2
"ULK1",1,0.2
"UNG",1,0.2
"VNN2",1,0.2
"VPS13C",1,0.2
"WTIP",1,0.2
"ZC3HAV1L",1,0.2
"ZFAND3",1,0.2
"ZNF221",1,0.2
"ZNF260",1,0.2
"ZNF267",1,0.2
"ZNF492",1,0.2
"ZNF726",1,0.2
"ZNF730",1,0.2
"ZNF831",1,0.2
"ZNF93",1,0.2
