"gene","GSM2420259","GSM2420261","GSM2420265","GSM2420267","GSM2420268","GSM2420270","GSM2420272","GSM2420275","GSM2420277","GSM2420280","GSM2420282","GSM2420285","GSM2420286","GSM2420289","GSM2420292","GSM2420295","GSM2420296","GSM2420299","GSM2420302","GSM2420303","GSM2420307","GSM2420310","GSM2420312","GSM2420313","GSM2420318","GSM2420324","GSM2420326","GSM2420329","GSM2420331","GSM2420333","GSM2420336","GSM2420337","GSM2420341","GSM2420343","GSM2420344","GSM2420346","GSM2420350","GSM2420352","GSM2420354","GSM2420355","GSM2420357","GSM2420359","GSM2420360","GSM2420362","GSM2420366","GSM2420368","GSM2420370","GSM2420372","GSM2420375"
"DENND2A",0.224837189595972,0.615548110518485,0.342724629310696,0.840456593338192,7.9011383098607,2.19908725521002,1.81252615098542,2.84781251746922,0.677086066688348,1.32512138421334,0.776440007155788,1.25620778771023,1.08903923707199,1.19670236173172,1.01571580778661,9.72669698121059,1.79042535618786,5.5793962980758,75.0480081661324,2.26902496556473,0.455005642966966,0.331275924459719,1.11513716035192,1.28256869845482,0.838396246951922,4.70971712243619,6.51615599425408,0.240757592281584,17.06999228581,1.15288878171869,1.26854409171824,0.865461148114977,0.389580528340868,1.42402757127612,9.94978240062576,0.9707711829919,0.545944742274975,0.564821994586789,0.339822638157292,1.14620829990484,0.299880594998223,0.684558185553174,1.43227765208174,0.972607359450245,5.01082932081432,1.68261214021399,7.04900037016366,2.03736211682602,0.406727511576863
"FCRL1",0.762384219001167,0.0866240777247186,0,0.286914093112572,0.0191945657516159,0.777290193017328,0.0185658158120502,0.0301591414599818,0.0661033537854606,43.8500064833964,0.185970509926493,0.109483459694074,0.287356761514743,0.429319583539646,11.1954472657186,0,0.00899281026910713,0.103549184322596,0,0.537668682310561,0,0,0.00770760498885413,0.221536218190461,0.183348331107205,0.0641822701847237,0.29524788671838,0.647692368873747,0.0172865271320251,0.152952240354075,0.0287181246483614,10.8236619035181,0,0.0814808124896079,0.0489262057162066,0.0157959315442982,0.0874668874412075,1.0211686128765,0.751168384627393,0.0813842692176229,0.0642947967555525,0.293354813175502,0.429629014442673,0.00816815945442865,0.294317330465169,0.216771344264442,0.295284655748812,0.0365804104296526,0.0592979836874044
"FCRL2",0.200769684585432,0.00780871407833731,0,0.321338450621909,0.164377660070569,0.95685219626908,0.0669445037062737,0,0.0536298893563041,18.5861610507727,0.182220465562738,0.136652808844556,0.207229846304526,0.572451513709371,6.33971463558896,0.103816653157056,0,0,0.00791586541718516,0.682379267810237,0.0444933174333013,0,0.215388266195204,0.286531081408509,0.37778072978246,0,0.133075375240576,0.141256762109734,0.0701231090675132,0.244623252179191,0.0129439545063759,4.48109245579513,0.00645384920565355,0.543535567006792,0.029402968274778,0.121033353346669,0.151123206404029,1.21510074240171,0.631996939113941,0.0366818617575597,0.0827977785946053,0.853045942793967,0.350751767606598,0,0.286823677823851,0.154698152598829,0.22415485967724,0.0131901417442451,0.0458177790945319
"MS4A1",2.63309478818799,0.140141778559791,0.019332850941927,2.45818017560256,0.613671697905,6.87027886654055,0.271754875815898,0.0871284420454936,0.519437586925614,307.179329425216,0.355059230845095,0.259522405578037,3.01957274871163,4.77509925263603,86.3857596617975,0.177445842604851,0.00692795626071505,0.0664775710032198,0.33824954046006,5.47743101571918,0.78330485341327,0.032149742277468,0.112819132635397,1.89219891216561,5.84503544787193,0.0988905463914141,1.29649653323582,3.13871153982953,0.0399520173182385,3.14347032415385,0.0110620543245023,95.811003483893,0.0110310694432554,0.715599302621111,0.0879484173626763,0.127774517130298,1.46559049540292,12.6689588618341,1.49688168234506,0.60816568053843,0.516547607415223,2.02668394308874,2.82270748448503,0.106975132971374,1.3481757118684,4.54374046411869,1.61633267937926,0.490351523069097,0.104417087502814
"PLCG2",3.60633790111423,5.79041799154541,0.469186722097215,6.78136723920782,3.21083583260747,9.70677032133127,2.27870879128175,0.308469705282064,5.3129120729009,43.1783308015464,4.1563829018956,4.55701920480687,3.48900096533876,5.14066689168772,20.0394495875231,1.04765248147961,1.45979672128065,1.89614487138415,0.533098153081003,3.41256059384197,0.957553542218301,1.22818699438031,3.88574819360748,4.55719805510881,4.96622942014988,2.92230816300948,1.87033704936876,5.05981917659134,2.44108763888736,0.944178252003968,2.27878319084748,20.4460544336804,3.25033557183722,6.95209538051406,8.17891548696204,3.38237526843244,7.59943595229834,11.3259683350425,4.27604398881871,3.43702181118317,4.46690917056327,11.5084995657306,3.64272756028616,6.47334957757509,2.58250434226584,5.15547378197737,2.99968046803718,2.37040146975157,8.64197930341633
"RASL10B",0.0851247602987942,0.120514324288528,0.216127634408184,0.431996229454519,0.877421220412939,1.75248659895371,2.24162172059326,0.164836610039732,0.40070553349462,0.161330726065533,0.128560703167719,0.761585318560721,0.308402000604765,0.373302383652311,0.0442887909124379,0.498654722732928,3.97674233199592,2.6239700474383,0.794092158480186,1.70836015155824,0.353149339046684,1.24411651393082,0.229780258935094,0.172290534121824,0.381752907670749,2.3279837768223,0.564793307907003,0.705924108503638,3.22951727551814,0.186315830221844,1.51252985741911,0.108476749574324,0.391302494652736,0.226717682140778,1.98531023539416,0.164818725916351,0.130378788699934,0.202954863949281,0.388161676725053,0.218361587458104,12.6962927676382,0.36674832754704,0.588047765884124,0.0568190879018458,0.743043049029989,0.493657033607853,1.68339404822848,0.225378390971524,0.0925990608490042
"SCARF2",4.92793035265904,2.10772748092993,4.81222152371521,13.2277959502328,4.82665926799225,3.12985440226428,5.14716476553224,1.43901391163653,4.50237873528168,0.859061978758018,1.59439635811587,3.8088925298572,1.0604864842049,3.57589934397524,1.12876464772902,1.39887688645538,7.80890641276152,7.74284673106296,9.87306934524047,11.6273201337044,1.00005863302692,3.78987648720151,3.42313869284694,9.47043657619787,19.2221425930873,9.07832970516734,16.8381914401832,10.3092102173974,4.17486626111476,7.68512348469797,7.23443851411824,0.653195683189896,3.73660580269087,0.921274219300426,1.51205539438416,8.48702032277911,2.57128719692156,0.99018375549543,3.56034548096622,4.11505676282915,3.83833890098038,1.70336670889408,4.25274439994088,0.893990969253673,3.23780119925906,3.16173268109499,3.43005164693198,8.99335176143356,1.14169923190772
"SDR42E1",0.0979778322141797,0.0693554507707314,0.0861095631143125,0.149167130473269,0.658632991304096,0.334589431530737,0,0,3.89380912184691,3.12888007677418,0.675123213333149,0.83804694644497,5.61375198799868,0.429667680499272,0.856396788947275,0.0470448437279271,0.030857491669347,0,0.0100438782464537,0.169927777860257,0.022581761539842,0,0.511318348687616,0.198304852607245,0.818870929911798,0,0.0253274808768686,0.119487101354564,1.47301768116038,0.0169300927945539,0,0.787551726334357,0.0409441496452363,1.56570005785436,0.1678830021008,2.55649894454297,0.11671707538551,0.252287157582099,0.229113124594099,0.753996659828308,0.136573070976968,0.346358171050385,0.101989239573357,3.0643755313661,0.136473806705106,0.392570951567911,1.58205369869813,0.0585761123550285,0.116269837976106
"TICRR",3.08213666519909,1.5790053545274,2.33694906942539,2.55310872812584,1.12364625259594,0.23071426002987,1.0294047501331,0.236836766741747,1.11056607969731,0.985147971649385,0.5810846432521,0.745528601898941,0.240702329501292,1.11103099377222,0.967236910593686,1.37420464573682,0.612036993636659,0.480504548303975,0.551667806519115,2.05052300544372,1.78061202245392,2.02985441330331,1.66907960665069,2.34710796708131,0.407220794775816,3.77630952513652,1.3665408316868,1.81971921563597,1.72771956733843,1.76351959994853,0.413454440084787,1.82634872406379,1.47200019777206,0.0969486050539869,0.411379226170426,1.20660878974617,0.135292349287716,0.209955574236115,1.84949843492627,2.20006245077441,3.81189103602279,0.270227149309722,2.37267937113211,1.08072502535959,0.840452727752089,2.30410159087258,3.17315126833303,2.57665631431251,0.298345719353143
"TLR1",11.83492140068,18.872922413907,0.661200228870861,12.6606321402741,7.65016889057704,11.5938582746129,2.31495080020839,10.9457690242154,4.10645812215359,20.1615704389327,23.3954945742742,8.11956490099957,2.62328199249103,6.11388883949396,16.8995897643548,7.68368862072627,1.4316642267846,4.40948456586352,1.71082370166049,8.90786155248555,5.73672582927712,0.380970499158884,16.955714469174,7.19530365906711,5.7639746879127,2.84028494958293,5.37420538634222,9.12969885700625,6.35084330011424,2.30153655378787,1.13499548614641,13.3867151881132,2.14407464794302,6.93947301347394,12.8547384632075,2.35645823244291,13.1133450132481,27.0663738801981,5.00647536682099,6.01614441283171,6.71819897683496,5.19383500153187,8.60043344423681,10.1393188322755,7.16427649264105,4.16294502121872,14.360682360719,9.08161615676218,17.2773471969755
